 1381289055 813187
9 1381289059 303984
29 1381289060 320272
32 1381289061 342812
35 1381289062 366378
38 1381289063 387987
50 1381289064 403410
54 1381289065 427616
57 1381289066 449941
71 1381289067 493295
74 1381289068 504061
78 1381289069 532714
87 1381289070 558871
91 1381289071 573759
100 1381289072 594438
104 1381289073 613571
116 1381289074 645800
120 1381289075 651961
124 1381289076 672519
135 1381289077 706217
138 1381289078 729753
146 1381289079 762252
155 1381289080 788925
158 1381289081 813682
165 1381289082 835803
174 1381289083 862950
177 1381289084 892600
184 1381289085 911954
192 1381289086 929826
196 1381289087 964809
203 1381289089 7049
209 1381289090 22678
214 1381289091 59441
221 1381289092 56153
226 1381289093 78132
232 1381289094 111487
242 1381289095 128523
248 1381289096 154303
252 1381289097 186528
257 1381289098 205078
263 1381289099 223117
268 1381289100 247431
277 1381289101 278539
282 1381289102 302920
287 1381289103 317187
295 1381289104 349211
299 1381289105 370385
307 1381289106 393407
310 1381289107 412620
318 1381289108 435207
322 1381289109 455375
330 1381289110 478671
334 1381289111 508238
339 1381289112 531066
347 1381289113 564494
350 1381289114 589468
358 1381289115 611904
362 1381289116 640911
369 1381289117 655288
373 1381289118 671507
381 1381289119 701926
384 1381289120 704566
392 1381289121 729746
396 1381289122 760748
403 1381289123 768802
407 1381289124 790522
414 1381289125 814806
418 1381289126 834547
425 1381289127 864886
429 1381289128 863672
435 1381289129 882129
441 1381289130 908285
447 1381289131 938831
451 1381289132 936930
457 1381289133 965651
463 1381289134 977470
468 1381289136 1620
473 1381289137 28057
478 1381289138 33526
483 1381289139 58486
489 1381289140 77986
494 1381289141 105309
500 1381289142 135516
505 1381289143 152694
511 1381289144 172940
515 1381289145 196324
522 1381289146 220741
526 1381289147 248644
532 1381289148 271793
536 1381289149 306084
542 1381289150 304301
546 1381289151 338512
553 1381289152 360472
557 1381289153 397813
564 1381289154 430570
567 1381289155 448868
573 1381289156 483419
577 1381289157 502448
584 1381289158 523269
588 1381289159 550521
593 1381289160 577399
598 1381289161 596397
603 1381289162 627144
608 1381289163 633550
613 1381289164 650842
619 1381289165 674868
622 1381289166 692405
628 1381289167 710254
632 1381289168 722116
639 1381289169 746670
642 1381289170 776287
647 1381289171 807405
652 1381289172 817602
657 1381289173 835290
662 1381289174 868428
667 1381289175 897334
672 1381289176 912493
676 1381289177 931404
682 1381289178 957251
687 1381289179 984926
692 1381289181 7307
697 1381289182 32173
702 1381289183 64479
706 1381289184 85370
712 1381289185 120037
716 1381289186 147426
721 1381289187 171564
726 1381289188 195385
731 1381289189 211421
735 1381289190 242183
741 1381289191 277961
745 1381289192 299352
751 1381289193 325202
755 1381289194 345805
760 1381289195 367464
765 1381289196 401162
770 1381289197 430466
775 1381289198 463661
779 1381289199 485887
785 1381289200 509099
789 1381289201 520935
795 1381289202 549856
798 1381289203 565236
804 1381289204 586942
807 1381289205 617419
813 1381289206 636272
817 1381289207 651892
823 1381289208 672795
826 1381289209 688913
832 1381289210 706946
835 1381289211 729627
840 1381289212 751699
844 1381289213 774855
849 1381289214 790614
853 1381289215 830839
858 1381289216 855220
862 1381289217 870441
867 1381289218 889417
871 1381289219 918626
876 1381289221 1231
880 1381289222 17655
885 1381289223 44061
889 1381289224 73282
894 1381289225 100454
898 1381289226 117679
902 1381289227 136509
907 1381289228 158744
911 1381289229 172815
915 1381289230 196424
920 1381289231 215180
925 1381289232 235023
929 1381289233 269522
933 1381289234 273485
937 1381289235 298660
942 1381289236 316327
946 1381289237 336342
950 1381289238 369494
954 1381289239 395310
959 1381289240 416406
963 1381289241 434816
967 1381289242 453801
972 1381289243 477855
976 1381289244 499620
980 1381289245 516598
984 1381289246 531633
989 1381289247 553277
993 1381289248 576425
997 1381289249 592072
1001 1381289250 610034
1006 1381289251 638814
1007 1381289252 646418
